"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.967100417E-1,-1.677735740E-1,-2.638035661E-1,-4.422880697E-1,5.416262828E-1
6.066400417E-1,-1.059749365E-1,-1.182763088E-1,-6.169514179E-1,6.370628104E-1
6.165710417E-1,-2.512924249E-1,6.016784906E-4,-5.609134573E-1,6.146317201E-1
6.265010417E-1,-3.368788514E-1,-1.262033790E-1,-5.127727461E-1,6.263789129E-1
6.364310417E-1,-1.264885587E-1,-2.156037980E-1,-4.802522868E-1,5.414116846E-1
6.463610417E-1,1.567556655E-1,-7.809599698E-2,-3.334053129E-1,3.766038052E-1
6.562910417E-1,4.740455587E-2,-2.149547571E-1,-7.248793244E-2,2.317482252E-1
6.662220417E-1,-7.830006480E-3,-3.331918895E-1,1.405308115E-1,3.617002257E-1
6.761520417E-1,-1.035740606E-1,-3.922604620E-1,1.033723408E-1,4.186665701E-1
6.860820417E-1,-1.372948162E-1,-3.993314999E-1,5.123564243E-2,4.253711373E-1
6.960120417E-1,7.215025574E-2,-1.959378576E-1,1.481339461E-1,2.560097057E-1
7.059430417E-1,6.248743951E-2,1.906192303E-4,6.986428678E-2,9.373225165E-2
7.158730417E-1,-2.901548977E-2,3.098515588E-1,-1.435298485E-1,3.427108177E-1
7.258030417E-1,1.891998187E-2,5.969264585E-1,-9.837706447E-2,6.052744909E-1
7.357330417E-1,1.459026486E-2,2.058260840E-1,-4.139770210E-1,4.625518637E-1
7.456640417E-1,-1.981649159E-1,-4.360958683E-1,-5.102409017E-1,6.998533547E-1
7.555940417E-1,-3.650533676E-1,-5.639358830E-1,-2.293757451E-1,7.098597564E-1
7.655240417E-1,-2.568453795E-1,-1.380252796E-1,2.326022387E-2,2.925090850E-1
7.754540417E-1,-5.324397098E-1,3.862261355E-1,-1.886779547E-2,6.580415382E-1
7.853840417E-1,-5.718534516E-1,2.542585713E-1,-7.473267853E-2,6.302767364E-1
7.953150417E-1,-4.441463149E-1,7.926427066E-2,1.805152416E-1,4.859367511E-1
8.052450417E-1,-2.954938670E-1,1.465581214E-1,2.107020772E-1,3.913965683E-1
8.151750417E-1,-2.434046772E-1,2.480517519E-1,1.743896985E-1,3.888280795E-1
8.251050417E-1,-3.231171370E-1,1.627110547E-1,1.386749053E-1,3.874407063E-1
8.350360417E-1,-4.125153632E-1,5.608356893E-2,1.267962867E-1,4.351914406E-1
8.449660417E-1,-3.836485367E-1,8.922558725E-2,1.441478992E-1,4.194353608E-1
8.548960417E-1,-4.472925554E-1,-7.533435702E-2,2.013190502E-1,4.962612774E-1
8.648260417E-1,-4.772133426E-1,-2.079223108E-1,2.639807367E-1,5.836523718E-1
8.747560417E-1,-3.167094657E-1,-1.309823084E-1,2.208230227E-1,4.077058476E-1
8.846870417E-1,-6.266269153E-2,-9.842968941E-2,2.235022169E-1,2.521274631E-1
8.946170417E-1,3.025817156E-2,-1.872325230E-1,1.238527983E-1,2.265195141E-1
9.045470417E-1,2.765075192E-2,-2.607823098E-1,2.769241333E-3,2.622587384E-1
9.144770417E-1,-3.586957997E-2,-2.044133967E-1,-1.306811768E-1,2.452529989E-1
9.244080417E-1,-1.959091332E-3,-8.034015834E-2,-1.842709082E-1,2.010327006E-1
9.343380417E-1,3.483729059E-2,-6.504091859E-2,-1.013772708E-1,1.253846440E-1
9.442680417E-1,9.998753384E-2,-1.213724095E-1,1.083389658E-1,1.909609913E-1
9.541980417E-1,1.455151244E-1,-1.044675243E-1,2.716949683E-1,3.254324367E-1
9.641290417E-1,1.037277053E-1,-9.646970272E-2,2.127129346E-1,2.555633639E-1
9.740590417E-1,7.466090396E-2,-9.124930859E-2,2.260317224E-1,2.549333765E-1
9.839890417E-1,6.521882012E-2,-1.464996493E-1,2.154237038E-1,2.685572823E-1
9.939190417E-1,1.009363908E-1,-1.511066705E-1,5.237409532E-2,1.891148506E-1
1.003849042E0,1.688896613E-1,-8.969979644E-2,-4.303726137E-2,1.960152469E-1
1.013780042E0,1.181581950E-1,-5.789737523E-2,-1.411055928E-1,1.929358791E-1
1.023710042E0,9.548342362E-2,-3.205677509E-2,-1.952087098E-1,2.196614700E-1
1.033640042E0,1.005971061E-1,-1.868185401E-2,-1.187499332E-1,1.567492777E-1
1.043570042E0,3.590570480E-2,-6.513038099E-2,1.030103981E-2,7.508193915E-2
1.053501042E0,-2.797702655E-2,-1.108187699E-1,1.606838250E-1,1.971872344E-1
1.063431042E0,-1.063048656E-1,-1.117566633E-1,2.227871025E-1,2.709693143E-1
1.073361042E0,-2.082392116E-1,-4.999310911E-2,1.507546681E-1,2.618966403E-1
1.083291042E0,-2.052808312E-1,-2.014014959E-2,2.615196437E-1,3.330741198E-1
1.093221042E0,-1.579404576E-1,3.444594741E-2,2.585662150E-1,3.049396645E-1
1.103152042E0,-2.129591024E-1,1.845965981E-3,2.683813512E-2,2.146515138E-1
1.113082042E0,-2.106783959E-1,-1.018163967E-1,-3.469620824E-2,2.365497665E-1
1.123012042E0,7.799893320E-3,-3.997039676E-2,2.032842994E-1,2.073233642E-1
1.132942042E0,1.408711195E-2,7.303172350E-4,2.474524122E-1,2.478541434E-1
1.142873042E0,-1.474623933E-2,-7.303464711E-2,2.136151600E-1,2.262364865E-1
1.152803042E0,1.442932938E-2,4.802961409E-2,1.407173377E-1,1.493868084E-1
1.162732250E0,-7.612358496E-2,9.220649779E-2,6.453571916E-2,1.358738292E-1
1.172662250E0,-1.626071022E-1,1.020105243E-2,3.370159686E-2,1.663758660E-1
1.182592250E0,-1.632431513E-1,7.659852505E-3,-1.073507863E-1,1.955279804E-1
1.192523250E0,-1.576371333E-1,-3.147263825E-2,-1.697160190E-1,2.337595343E-1
1.202453250E0,-1.556312460E-1,5.274773240E-3,-2.140344054E-1,2.646878060E-1
1.212383250E0,-1.265894232E-1,-9.689421058E-3,-1.966903943E-1,2.341065530E-1
1.222313250E0,-9.028261766E-2,-3.686669469E-2,-7.514549196E-2,1.231135622E-1
1.232244250E0,-9.584083468E-2,-3.647493124E-2,-5.133212149E-2,1.146772554E-1
1.242174250E0,-1.067223568E-1,-1.364155412E-2,3.068618774E-2,1.118811672E-1
1.252104250E0,-1.054695909E-1,-1.587519050E-3,7.223474801E-2,1.278444900E-1
1.262034250E0,-8.804649621E-2,-4.519897699E-2,1.083301950E-1,1.467329689E-1
1.271965250E0,-1.321251467E-2,-3.326188624E-2,6.617761731E-2,7.523563420E-2
1.281895250E0,1.405006984E-1,-9.090081453E-3,-3.449857235E-3,1.408367045E-1
1.291825250E0,2.353798123E-1,-1.024397099E-1,2.702466130E-2,2.581237736E-1
1.301755250E0,2.591189231E-1,-2.136695391E-1,1.678033948E-2,3.362720149E-1
1.311685250E0,3.015100671E-1,-2.511355734E-1,1.529339254E-2,3.926974467E-1
1.321616250E0,2.666599309E-1,-2.755886292E-1,-1.588922381E-2,3.838086486E-1
1.331546250E0,1.383397137E-1,-3.307676339E-1,-4.119363427E-3,3.585555371E-1
1.341476250E0,-4.966376469E-2,-3.389730316E-1,-8.164584160E-2,3.521863841E-1
1.351406250E0,-1.192291126E-1,-2.919795442E-1,-1.164356053E-1,3.361917394E-1
1.361337250E0,-1.477459833E-2,-2.663646466E-1,-1.572924399E-1,3.096923075E-1
1.371267250E0,1.633929862E-1,-1.847117883E-1,-2.673955107E-1,3.637527619E-1
1.381197250E0,2.102163197E-1,-1.951555002E-1,-3.812682813E-1,4.771185101E-1
1.391127250E0,1.624761428E-1,-2.732801485E-1,-3.422550738E-1,4.671392427E-1
1.401057250E0,1.218112430E-1,-2.252288997E-1,-3.137171531E-1,4.049499825E-1
1.410988250E0,8.312431008E-2,-1.654282558E-1,-2.195278645E-1,2.871735399E-1
1.420918250E0,6.746955961E-2,-1.527596784E-1,-1.435199082E-1,2.201945160E-1
1.430848250E0,1.314283048E-1,-7.790479302E-2,-1.011772960E-1,1.832468316E-1
1.440778250E0,1.218815558E-1,-5.284187257E-2,-6.333353162E-2,1.471683164E-1
1.450709250E0,9.947999552E-2,-6.860187292E-2,-1.239258885E-2,1.214745353E-1
1.460639250E0,1.377925605E-1,-5.558187783E-2,-2.361339569E-2,1.504450973E-1
1.470569250E0,1.967241620E-1,-5.082809150E-2,3.041195333E-2,2.054477493E-1
1.480499250E0,2.131219839E-1,-1.129828244E-1,7.109687984E-2,2.514773647E-1
1.490430250E0,1.792930274E-1,-1.348777235E-1,1.053984010E-1,2.478846766E-1
1.500360250E0,7.028415341E-2,-1.373528498E-1,1.162479097E-1,1.931818938E-1
1.510290250E0,-6.238116637E-2,-9.227607965E-2,9.739473224E-2,1.479595170E-1
1.520220250E0,-8.900865555E-2,-2.426769912E-2,8.083424807E-2,1.226606605E-1
1.530150250E0,-6.353935361E-2,-2.037286878E-2,1.675350076E-1,1.803338072E-1
1.540081250E0,1.857558087E-2,-3.186615586E-2,2.067265552E-1,2.099913635E-1
1.550011250E0,8.080647379E-2,-7.826965928E-2,1.623917967E-1,1.975523257E-1
1.559941250E0,1.353984546E-1,-1.122045600E-1,1.533461541E-1,2.333187686E-1
1.569871250E0,4.677323017E-2,-1.332861114E-1,8.900690138E-2,1.669585309E-1
1.579802250E0,6.047307372E-2,-4.595268309E-2,4.607722878E-2,8.883553760E-2
1.589732250E0,2.078758255E-2,1.843042374E-3,-3.784610331E-2,4.321860628E-2
1.599662250E0,-3.292859495E-2,-3.173634768E-2,-1.090330303E-2,4.701457376E-2
1.609592250E0,-7.322537597E-2,-2.999738574E-2,-1.101615429E-3,7.913919632E-2
1.619522250E0,-3.344008014E-2,1.181605339E-2,-1.485192776E-2,3.845045949E-2
1.629453250E0,-4.090829015E-2,-3.461083889E-2,-3.370919824E-3,5.369135379E-2
1.639383250E0,-4.561062098E-2,-8.206625640E-2,-3.582647502E-2,1.004924649E-1
1.649313250E0,-2.692043468E-2,-1.029051483E-1,-7.578693151E-2,1.306056596E-1
1.659243250E0,-3.351331651E-3,-1.029583579E-1,-9.408169985E-2,1.395099320E-1
1.669174250E0,-4.413478374E-3,-8.616924763E-2,-9.106219769E-2,1.254469684E-1
1.679104250E0,6.371871695E-2,-9.303914130E-2,-3.326831818E-2,1.175718406E-1
1.689034250E0,1.429999445E-1,-1.055065745E-1,-8.857946992E-3,1.779299992E-1
1.698964250E0,2.157727826E-1,-1.422159791E-1,-8.575526476E-3,2.585668541E-1
1.708895250E0,2.431174693E-1,-2.105781162E-1,4.795067668E-2,3.251899665E-1
1.718825250E0,1.374557608E-1,-2.134625477E-1,6.802241385E-2,2.628448102E-1
1.728755250E0,2.464192092E-2,-1.646985233E-1,9.255206823E-2,1.905222118E-1
1.738685250E0,-1.452907375E-1,-1.273587888E-1,1.199111903E-1,2.273947076E-1
1.748616250E0,-2.396235752E-1,-8.496472120E-2,5.576314151E-2,2.602844398E-1
1.758546250E0,-1.754357654E-1,-5.044100583E-2,4.878332019E-2,1.889492397E-1
1.768476250E0,-1.227017739E-1,-5.628763676E-2,1.862221241E-2,1.362747599E-1
1.778406250E0,-7.952944189E-2,-2.245096922E-2,-3.814665020E-2,9.101727895E-2
1.788336250E0,-9.178915277E-2,-3.056105733E-2,-2.989505947E-2,1.012568090E-1
1.798267250E0,-5.721295863E-2,1.130793035E-2,3.898397148E-2,7.014942592E-2
1.808197250E0,-3.152862534E-2,3.362149000E-2,9.528564155E-2,1.058480623E-1
1.818127250E0,-3.832016632E-2,2.525295496E-2,1.587536591E-1,1.652539596E-1
1.828057250E0,-9.186005026E-2,2.047285616E-2,2.431699115E-1,2.607470279E-1
1.837988250E0,-1.251286608E-1,3.069846690E-2,2.611559469E-1,2.912078402E-1
